Inner product checksum rho =         433107DE
Inner product checksum theta =         4C08B09C
Inner product checksum u =         6075B74B
Inner product checksum mr1 =         3A5C2037
Inner product checksum mr2 =                0
Inner product checksum mr3 =                0
Inner product checksum mr4 =                0
Inner product checksum mr5 =                0
Inner product checksum mr6 =                0
